Data;Wojewodztwo;Liczba wykonanych testów
03.04.2020;Łódzkie;420
03.04.2020;Małopolskie;11
03.04.2020;Mazowieckie;1880
03.04.2020;Opolskie;69
03.04.2020;Podkarpackie;136
03.04.2020;Podlaskie;250
03.04.2020;Pomorskie;355
03.04.2020;Śląskie;436
03.04.2020;Świętokrzyskie;285
03.04.2020;Warmińsko-Mazurskie;302
03.04.2020;Wielkopolskie;438
03.04.2020;Zachodniopomorskie;212
04.04.2020;Dolnośląskie;1020
04.04.2020;Kujawsko-Pomorskie;63
04.04.2020;Lubelskie;409
04.04.2020;Lubuskie;116
04.04.2020;Łódzkie;461
04.04.2020;Małopolskie;201
04.04.2020;Mazowieckie;2269
04.04.2020;Opolskie;72
04.04.2020;Podkarpackie;209
04.04.2020;Podlaskie;124
04.04.2020;Pomorskie;406
04.04.2020;Śląskie;586
04.04.2020;Świętokrzyskie;185
04.04.2020;Warmińsko-Mazurskie;249
04.04.2020;Wielkopolskie;893
04.04.2020;Zachodniopomorskie;254
05.04.2020;Dolnośląskie;466
05.04.2020;Kujawsko-Pomorskie;146
05.04.2020;Lubelskie;509
05.04.2020;Lubuskie;143
05.04.2020;Łódzkie;485
05.04.2020;Małopolskie;134
05.04.2020;Mazowieckie;1524
05.04.2020;Opolskie;48
05.04.2020;Podkarpackie;141
05.04.2020;Podlaskie;174
05.04.2020;Pomorskie;372
05.04.2020;Śląskie;479
05.04.2020;Świętokrzyskie;303
05.04.2020;Warmińsko-Mazurskie;115
05.04.2020;Wielkopolskie;379
05.04.2020;Zachodniopomorskie;119
06.04.2020;Dolnośląskie;447
06.04.2020;Kujawsko-Pomorskie;113
06.04.2020;Lubelskie;365
06.04.2020;Lubuskie;150
06.04.2020;Łódzkie;510
06.04.2020;Małopolskie;167
06.04.2020;Mazowieckie;2087
06.04.2020;Opolskie;36
06.04.2020;Podkarpackie;116
06.04.2020;Podlaskie;102
06.04.2020;Pomorskie;200
06.04.2020;Śląskie;406
06.04.2020;Świętokrzyskie;201
06.04.2020;Warmińsko-Mazurskie;236
06.04.2020;Wielkopolskie;461
06.04.2020;Zachodniopomorskie;184
07.04.2020;Dolnośląskie;578
07.04.2020;Kujawsko-Pomorskie;86
07.04.2020;Lubelskie;346
07.04.2020;Lubuskie;110
07.04.2020;Łódzkie;689
07.04.2020;Małopolskie;167
07.04.2020;Mazowieckie;1301
07.04.2020;Opolskie;47
07.04.2020;Podkarpackie;211
07.04.2020;Podlaskie;123
07.04.2020;Pomorskie;462
07.04.2020;Śląskie;620
07.04.2020;Świętokrzyskie;158
07.04.2020;Warmińsko-Mazurskie;203
07.04.2020;Wielkopolskie;574
07.04.2020;Zachodniopomorskie;210
08.04.2020;Dolnośląskie;489
08.04.2020;Kujawsko-Pomorskie;59
08.04.2020;Lubelskie;353
08.04.2020;Lubuskie;112
08.04.2020;Łódzkie;633
08.04.2020;Małopolskie;857
08.04.2020;Mazowieckie;3090
08.04.2020;Opolskie;62
08.04.2020;Podkarpackie;254
08.04.2020;Podlaskie;678
08.04.2020;Pomorskie;277
08.04.2020;Śląskie;855
08.04.2020;Świętokrzyskie;128
08.04.2020;Warmińsko-Mazurskie;209
08.04.2020;Wielkopolskie;547
08.04.2020;Zachodniopomorskie;145
09.04.2020;Dolnośląskie;557
09.04.2020;Kujawsko-Pomorskie;48
09.04.2020;Lubelskie;271
09.04.2020;Lubuskie;63
09.04.2020;Łódzkie;991
09.04.2020;Małopolskie;373
09.04.2020;Mazowieckie;3752
09.04.2020;Opolskie;54
09.04.2020;Podkarpackie;253
09.04.2020;Podlaskie;398
09.04.2020;Pomorskie;396
09.04.2020;Śląskie;637
09.04.2020;Świętokrzyskie;306
09.04.2020;Warmińsko-Mazurskie;204
09.04.2020;Wielkopolskie;767
09.04.2020;Zachodniopomorskie;149
10.04.2020;Dolnośląskie;1033
10.04.2020;Kujawsko-Pomorskie;81
10.04.2020;Lubelskie;458
10.04.2020;Lubuskie;75
10.04.2020;Łódzkie;816
10.04.2020;Małopolskie;712
10.04.2020;Mazowieckie;3673
10.04.2020;Opolskie;62
10.04.2020;Podkarpackie;313
10.04.2020;Podlaskie;788
10.04.2020;Pomorskie;607
10.04.2020;Śląskie;758
10.04.2020;Świętokrzyskie;178
10.04.2020;Warmińsko-Mazurskie;456
10.04.2020;Wielkopolskie;1277
10.04.2020;Zachodniopomorskie;215
11.04.2020;Dolnośląskie;662
11.04.2020;Kujawsko-Pomorskie;90
11.04.2020;Lubelskie;357
11.04.2020;Lubuskie;116
11.04.2020;Łódzkie;586
11.04.2020;Małopolskie;552
11.04.2020;Mazowieckie;3468
11.04.2020;Opolskie;78
11.04.2020;Podkarpackie;304
11.04.2020;Podlaskie;664
11.04.2020;Pomorskie;606
